PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40136649,Proinflammatory Cytokines in Chronic Respiratory Diseases and Their Management.,2025 Mar 9,,,
40136351,"COVID-19 Pandemic Impact on Delays in Diagnosis and Treatment for Cervical Cancer in Montreal, Canada.",2025 Mar 3,,,
40136024,"Neutralization and spike stability of JN.1-derived LB.1, KP.2.3, KP.3, and KP.3.1.1 subvariants.",2025 Mar 26,,,
40135879,"Role of glycosylation mutations at the N-terminal domain of SARS-CoV-2 XEC variant in immune evasion, cell-cell fusion, and spike stability.",2025 Mar 26,,,
40130874,SARS-CoV-2 neutralizing antibody specificities differ dramatically between recently infected infants and immune-imprinted individuals.,2025 Mar 25,,,
40130356,Evaluation of Dendritic Cell Subpopulations Frequency in COVID-19 Patients and their Correlation with Disease Severity.,2025 Mar 25,,,
40129852,Inflammatory Bowel Disease from the Perspective of Newer Innate Immune System Biomarkers.,2025 Mar 6,,,
40129685,Predicting COVID-19 progression in hospitalized patients in Kurdistan Province using a multi-state model.,2025 Jun,,,
40129313,SARS-CoV-2 Infection Aggravates Physical and Mental Health in Cancer Patients Compared to Co-Living Individuals.,2025 Mar,,,
40129153,"From Bench to Bioactivity: Pyranopyrazole Synthesis, Anticancer, Antimicrobial Efficacy, DFT, Molecular Docking, and Molecular Dynamic Insights.",2025 Mar 24,,,
40127385,Leveraging Digital Technology to Enhance Mind-Body Approaches in Cancer Treatment.,2025 Mar,,,
40127178,"In the time of COVID-19: challenges, successes and lessons learned from studies in cancer patients.",2025 Mar 24,,,
40126542,Acceptability and Effectiveness of a Fully Web-Based Nutrition and Exercise Program for Individuals With Chronic Disease During COVID-19: Randomized Controlled Trial.,2025 Mar 24,,,
40126442,Genetically predicted effects of COVID-19 on 2272 traits: exploring through a phenome-wide Mendelian randomization study.,2025 Mar 24,,,
40124588,Associations of COVID-19 vaccination with risks for post-infectious cardiovascular complications: an international cohort study in cancer patients with SARS-CoV-2 infection.,2025 Apr,,,
40124502,Adaptive immune responses against common viruses are sustained and functional in end-of-life patients.,2025 Mar 21,,,
40124494,Age- and disease severity-associated changes in the nasopharyngeal microbiota of COVID-19 patients.,2025 Mar 21,,,
40124489,"Tixagevimab/cilgavimab or placebo for COVID-19 in ACTIV-2: Safety, pharmacokinetics and neutralizing and anti-drug antibodies.",2025 Mar 21,,,
40123896,Impact of face masks on empathy and communication in head and neck cancer patients: a case-control study.,2025,,,
40123511,Comparison of Local and Centrally Adjudicated Modified Rankin Scale Scores in the MOST Trial.,2025 Mar 24,,,
40122855,Intranasal prime-boost RNA vaccination elicits potent T cell response for lung cancer therapy.,2025 Mar 24,,,
40122829,Genomic-transcriptomic analysis identifies the Syrian hamster as a superior animal model for human diseases.,2025 Mar 24,,,
40122545,"Hospital-based specialist palliative care involvement before and during the COVID-19 pandemic: secondary analysis of a regional retrospective decedent cohort study in Ottawa, Canada.",2025 Mar 22,,,
40122532,Influence of military preventive policy for recruit training on COVID-19 seroconversion: the IMPACT-COVID-19 study.,2025 Mar 22,,,
40122205,ORCHESTRA Delphi Consensus: diagnostic and therapeutic management of SARS-CoV-2 infection in haematological patients.,2025 Mar 21,,,
40122087,"Three decades of population health changes in Japan, 1990-2021: a subnational analysis for the Global Burden of Disease Study 2021.",2025 Mar 20,,,
40121940,Reporting of molecular test results from cell-free DNA analyses: expert consensus recommendations from the 2023 European Liquid Biopsy Society ctDNA Workshop.,2025 Mar 22,,,
40121451,COVID-19 vaccination uptake in Ohio: analyzing the difference between metro and non-metro residents.,2025 Mar 22,,,
40120941,Virus profiling of bronchoalveolar lavage fluid in hospitalized non-COVID-19 adult patients with pulmonary infection from November 2020 to November 2021.,2025 Mar 20,,,
40119775,Evaluation of Cellular Immune Responses After mRNA-1273 Vaccination in Children 6 Months to 11 Years of Age.,2025 Mar 22,,,
40118946,SARS-Cov-2 vaccination strategies in hospitalized recovered COVID-19 patients: a randomized clinical trial (VATICO Trial).,2025 Mar 22,,,
40117875,In-house assays for detecting anti-SARS-CoV-2 antibodies in serum and urine: Correlation with COVID-19 severity from a cohort study in Qatar.,2025 Mar 9,,,
40116851,Quantifying Public Engagement With Science and Malinformation on COVID-19 Vaccines: Cross-Sectional Study.,2025 Mar 21,,,
40116295,"An Ecological Analysis of HPV Vaccination in the United States Before and During the COVID-19 Pandemic by Age, Sex, and Urbanicity Using Private Insurance Claims Data.",2025 Mar,,,
40115813,Modelling the impact of the COVID-19 pandemic on cancer stage migration and excess mortality in Ireland.,2025 Apr,,,
40115190,Editorial: Common themes in drug resistance: from viruses to humans.,2025,,,
40113850,Effect of antecedent B-cell depletion therapy for patients hospitalized with COVID-19 within a single health system: a propensity score analysis.,2025 Mar 20,,,
40111628,Disparities in Colorectal Cancer Screening and Diagnoses in the COVID Era: A Study of the VA Health System.,2025 Mar 20,,,
40110889,Effect of pre-vaccination blood and T-cell phenotypes on antibody responses to COVID-19 mRNA vaccine.,2025 Mar 20,,,
40110818,Home anti-PD1 immunotherapy for melanoma: results of a patient and nursing satisfaction survey.,2025 Feb 1,,,
40110491,Landscape of chimeric RNAs in COVID-19 patient blood.,2025 May,,,
40109500,Barriers to telehealth uptake and use: a scoping review.,2025 Apr,,,
40108475,Regulated somatic hypermutation enhances antibody affinity maturation.,2025 Mar 19,,,
40106831,Emerging Trends and Innovations in Radiologic Diagnosis of Thoracic Diseases.,2025 Mar 20,,,
40106742,Erratum: Analysis of the Implementation of Telehealth Visits for Care of Patients With Cancer in Houston During the COVID-19 Pandemic.,2025 Mar 19,,,
40105882,Factors Associated With the Availability of Virtual Consultations in Primary Care Across 20 Countries: Cross-Sectional Study.,2025 Mar 19,,,
40105442,Development and Evaluation of a Nomogram for Predicting Pulmonary Embolism in Children With Severe Mycoplasma pneumoniae Pneumonia.,2025 Mar,,,
40103915,An Exceptional Case of a Supra-tentorial Streptococcus Salivarius Brain Abscess-A Case Report.,2025,,,
40102764,Time course and determinants of the antibody response to SARS-CoV-2 in Costa Rica: the RESPIRA study.,2025 Mar 18,,,
40102507,"Multicenter study on the distribution and prevalence of human papillomavirus types in Hangzhou, Zhejiang from 2017 to 2023.",2025 Mar 18,,,
